F0 body0 cyl A=65478.6mm2 R=360.00 axis=(0.000,-1.000,0.000) C=(-273.3,-127.8,-932.8) box=[-428.3,-177.8,-1179.0 .. -118.3,-77.8,-686.5]
F1 body0 cyl A=65365.8mm2 R=360.00 axis=(0.000,-1.000,0.000) C=(-68.3,-127.8,-1333.8) box=[-352.1,-177.8,-1403.0 .. 215.4,-77.8,-1264.6]
F2 body0 cyl A=65341.2mm2 R=360.00 axis=(0.000,-1.000,0.000) C=(136.7,-127.8,-932.1) box=[-18.3,-177.8,-1177.8 .. 291.7,-77.8,-686.5]
F3 body0 plane A=883494.9mm2 n=(0.000,1.000,0.000) C=(-68.3,-177.8,-993.0) box=[-818.3,-177.8,-1693.0 .. 681.7,-177.8,-293.0]
F4 body0 plane A=1053494.9mm2 n=(0.000,-1.000,0.000) C=(-68.3,-77.8,-1043.0) box=[-818.3,-77.8,-1793.0 .. 681.7,-77.8,-293.0]
F5 body0 cyl A=47123.9mm2 R=75.00 axis=(0.000,-1.000,0.000) C=(-68.3,-127.8,-1043.0) box=[-143.3,-177.8,-1118.0 .. 6.7,-77.8,-968.0]
F6 body0 cyl A=6597.3mm2 R=10.50 axis=(0.000,-1.000,0.000) C=(-121.9,-127.8,-788.6) box=[-132.4,-177.8,-799.1 .. -111.4,-77.8,-778.1]
F7 body0 cyl A=6597.3mm2 R=10.50 axis=(0.000,-1.000,0.000) C=(84.1,-127.8,-1253.6) box=[73.6,-177.8,-1264.1 .. 94.6,-77.8,-1243.1]
F8 body0 cyl A=6597.3mm2 R=10.50 axis=(0.000,-1.000,0.000) C=(-261.9,-127.8,-1216.7) box=[-272.4,-177.8,-1227.2 .. -251.4,-77.8,-1206.2]
F9 body0 cyl A=6597.3mm2 R=10.50 axis=(0.000,-1.000,0.000) C=(37.8,-127.8,-805.7) box=[27.3,-177.8,-816.2 .. 48.3,-77.8,-795.2]
F10 body0 cyl A=6597.3mm2 R=10.50 axis=(0.000,-1.000,0.000) C=(-327.0,-127.8,-1069.8) box=[-337.5,-177.8,-1080.3 .. -316.5,-77.8,-1059.3]
F11 body0 cyl A=6597.3mm2 R=10.50 axis=(0.000,-1.000,0.000) C=(178.8,-127.8,-1123.8) box=[168.3,-177.8,-1134.3 .. 189.3,-77.8,-1113.3]
F12 body0 plane A=36994.9mm2 n=(0.517,0.000,-0.856) C=(-560.0,-127.8,-1274.7) box=[-718.3,-177.8,-1370.3 .. -401.7,-77.8,-1179.0]
F13 body0 plane A=42291.2mm2 n=(-0.500,0.000,0.866) C=(-535.2,-127.8,-1370.3) box=[-718.3,-177.8,-1476.1 .. -352.1,-77.8,-1264.6]
F14 body0 plane A=29348.9mm2 n=(-1.000,0.000,0.000) C=(-18.3,-127.8,-539.8) box=[-18.3,-177.8,-686.5 .. -18.3,-77.8,-393.0]
F15 body0 plane A=29348.9mm2 n=(1.000,0.000,0.000) C=(-118.3,-127.8,-539.8) box=[-118.3,-177.8,-686.5 .. -118.3,-77.8,-393.0]
F16 body0 plane A=36416.5mm2 n=(-0.496,0.000,-0.868) C=(423.6,-127.8,-1268.1) box=[265.5,-177.8,-1358.5 .. 581.7,-77.8,-1177.8]
F17 body0 plane A=42291.2mm2 n=(0.500,0.000,0.866) C=(398.5,-127.8,-1370.3) box=[215.4,-177.8,-1476.1 .. 581.7,-77.8,-1264.6]
F18 body0 plane A=94544.4mm2 n=(1.000,0.000,0.000) C=(581.7,-127.8,-875.8) box=[581.7,-177.8,-1358.5 .. 581.7,-77.8,-393.0]
F19 body0 plane A=19698.7mm2 n=(1.000,0.000,0.000) C=(581.7,-127.8,-1584.5) box=[581.7,-177.8,-1693.0 .. 581.7,-77.8,-1476.1]
F20 body0 plane A=770440.0mm2 n=(-1.000,0.000,0.000) C=(681.7,-1353.9,-1043.0) box=[681.7,-2630.0,-1793.0 .. 681.7,-77.8,-293.0]
F21 body0 plane A=48400.0mm2 n=(0.000,-1.000,0.000) C=(-768.3,-2650.0,-343.0) box=[-878.3,-2650.0,-453.0 .. -658.3,-2650.0,-233.0]
F22 body0 plane A=4400.0mm2 n=(0.000,0.000,1.000) C=(-768.3,-2640.0,-453.0) box=[-878.3,-2650.0,-453.0 .. -658.3,-2630.0,-453.0]
F23 body0 plane A=4400.0mm2 n=(-1.000,0.000,0.000) C=(-658.3,-2640.0,-343.0) box=[-658.3,-2650.0,-453.0 .. -658.3,-2630.0,-233.0]
F24 body0 plane A=4400.0mm2 n=(0.000,0.000,-1.000) C=(-768.3,-2640.0,-233.0) box=[-878.3,-2650.0,-233.0 .. -658.3,-2630.0,-233.0]
F25 body0 plane A=4400.0mm2 n=(1.000,0.000,0.000) C=(-878.3,-2640.0,-343.0) box=[-878.3,-2650.0,-453.0 .. -878.3,-2630.0,-233.0]
F26 body0 plane A=38400.0mm2 n=(0.000,-1.000,0.000) C=(-768.3,-2630.0,-343.0) box=[-878.3,-2630.0,-453.0 .. -658.3,-2630.0,-233.0]
F27 body0 plane A=2828.4mm2 n=(-0.707,0.000,-0.707) C=(-618.3,-137.8,-1593.0) box=[-718.3,-142.8,-1693.0 .. -518.3,-132.8,-1493.0]
F28 body0 plane A=20000.0mm2 n=(0.000,-1.000,0.000) C=(-618.3,-132.8,-1593.0) box=[-718.3,-132.8,-1693.0 .. -518.3,-132.8,-1493.0]
F29 body0 plane A=20000.0mm2 n=(0.000,-1.000,0.000) C=(-618.3,-142.8,-1593.0) box=[-718.3,-142.8,-1693.0 .. -518.3,-142.8,-1493.0]
F30 body0 plane A=20000.0mm2 n=(0.000,1.000,0.000) C=(-618.3,-132.8,-493.0) box=[-718.3,-132.8,-593.0 .. -518.3,-132.8,-393.0]
F31 body0 plane A=2828.4mm2 n=(-0.707,0.000,0.707) C=(-618.3,-137.8,-493.0) box=[-718.3,-142.8,-593.0 .. -518.3,-132.8,-393.0]
F32 body0 plane A=20000.0mm2 n=(0.000,1.000,0.000) C=(-618.3,-142.8,-493.0) box=[-718.3,-142.8,-593.0 .. -518.3,-142.8,-393.0]
