Run,L1,L2,R,r,Volume_mm3,MaxCrossSectionArea_mm2,MaxCrossSectionZ_mm,GateCornersReachable(0-4)
0,407.50,1000.00,347.00,120.60,26984448.0,1241519.2,-693.63,4
1,350.00,850.00,300.00,90.00,26775360.0,840923.6,-592.34,2
2,350.00,1000.00,347.00,120.60,26986176.0,1181419.0,-727.09,4
3,350.00,1150.00,394.00,150.00,27000000.0,1545312.3,-859.86,2
4,407.50,850.00,347.00,150.00,26751168.0,906343.2,-543.54,2
5,407.50,1000.00,394.00,90.00,26604288.0,952743.9,-699.26,4
6,407.50,1150.00,300.00,120.60,27000000.0,2007480.3,-787.86,2
7,465.00,850.00,394.00,120.60,24463296.0,655027.8,-508.73,2
8,465.00,1000.00,300.00,150.00,27000000.0,1595430.1,-628.01,4
9,465.00,1150.00,347.00,90.00,27000000.0,1662356.7,-789.06,4
