Run,Label,L1_mm,L2_mm,R_mm,r_mm,ValidFKPoints,WorkspaceVolume_mm3,MaxCrossSectionArea_mm2,MaxCrossSectionZ_mm,EquivalentDiameter_mm,GateCornersOK_0to4,PathOK,PathTotal,PathPercent,Pass
0,Hien tai,407.5,1000,347,120.6,91125,89291000,1237794.95839341,-698.62875607698,1255.39216554043,4,601,601,100,1
1,L9-1,350,850,300,90,91125,84863000,844841.644814347,-587.342007913907,1037.15273282999,2,461,601,76.7054908485857,0
2,L9-2,350,1000,347,120.6,91125,89378000,1182283.75673464,-727.08744488222,1226.91908134668,4,601,601,100,1
3,L9-3,350,1150,394,150,91125,90776000,1537655.92216597,-864.863169248288,1399.21561108284,2,231,601,38.4359400998336,0
4,L9-4,407.5,850,347,150,91125,85375000,904982.978673822,-548.535442786232,1073.4337966357,2,509,601,84.6921797004992,0
5,L9-5,407.5,1000,394,90,91125,84239000,949991.84748037,-709.261843657533,1099.80324939874,4,601,601,100,1
6,L9-6,407.5,1150,300,120.6,91125,91095000,2012252.99906812,-782.860778043351,1600.64989689359,2,359,601,59.7337770382696,0
7,L9-7,465,850,394,120.6,91125,72470000,653965.585762376,-523.733123325908,912.499229966004,2,447,601,74.3760399334443,0
8,L9-8,465,1000,300,150,91125,90904000,1600023.4636789,-623.006315478024,1427.30975841269,4,601,601,100,1
9,L9-9,465,1150,347,90,91125,90520000,1663429.87845335,-789.06305475098,1455.31601418414,4,601,601,100,1
